category_id,category_name,parent_category,url
,Bâche,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/bache
,Bêche jardin,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/beche-jardin
,Rateau,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/rateau
,Outillage du jardin,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/outillage-du-jardin
,Brouette de jardin,Entretien du jardin,https://www.bricodepot.fr/produits/terrasse-et-jardin/jardinage-et-entretien-du-jardin/entretien-du-jardin/brouette-de-jardin
,Panneau Bois,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/panneau-bois
,Dalle plancher bois,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/dalle-plancher-bois
,Plancher Bois,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/plancher-bois
,Planche de bois,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/planche-de-bois
,Tasseau Bois,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/tasseau-bois
,Moulures,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/moulures
,Tablette bois,Panneau bois et dalle de plancher,https://www.bricodepot.fr/produits/materiau-et-gros-oeuvre/isolation-et-cloison/panneau-bois-et-dalle-de-plancher/tablette-bois
